phase,experiment_type,experiment_name,field_type,start_position,planning_depth,num_iterations,timeout,ucb1_c,parallel,discount_factor,entropy_reduction,final_mse,coverage_end,avg_planning_time_per_step
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep0,Gaussian,corner,3,10,2.0,1.4,4,1.0,144661.13627319454,0.0246125,1.0,0.09106259107589722
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep1,Gaussian,corner,3,10,2.0,1.4,4,1.0,140213.23921838473,0.03006875,0.99609375,0.06937816619873047
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep2,Gaussian,corner,3,10,2.0,1.4,4,1.0,126790.85236019673,0.05498125,0.921875,0.06981159448623657
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep3,Gaussian,corner,3,10,2.0,1.4,4,1.0,139847.50463712538,0.02873125,0.99609375,0.07413364887237549
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep4,Gaussian,corner,3,10,2.0,1.4,4,1.0,137629.10188107294,0.02905625,0.9921875,0.07432438135147094
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep5,Gaussian,corner,3,10,2.0,1.4,4,1.0,139835.69705920204,0.032775,1.0,0.06937043190002441
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep6,Gaussian,corner,3,10,2.0,1.4,4,1.0,141312.50469360405,0.03139375,1.0,0.08405394077301026
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep7,Gaussian,corner,3,10,2.0,1.4,4,1.0,143135.75702700028,0.02715625,1.0,0.07113060235977173
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep8,Gaussian,corner,3,10,2.0,1.4,4,1.0,136917.950832594,0.03476875,0.98828125,0.07456020832061767
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep9,Gaussian,corner,3,10,2.0,1.4,4,1.0,142715.11463248674,0.02816875,1.0,0.07905128955841065
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep10,Gaussian,corner,3,10,2.0,1.4,4,1.0,127957.8780390581,0.0343,0.9453125,0.07309611797332764
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep11,Gaussian,corner,3,10,2.0,1.4,4,1.0,135364.69082061714,0.03839375,1.0,0.07736531972885131
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep12,Gaussian,corner,3,10,2.0,1.4,4,1.0,135498.45751533713,0.04015,0.99609375,0.07365474939346313
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep13,Gaussian,corner,3,10,2.0,1.4,4,1.0,135223.5570053601,0.0417125,1.0,0.08099053382873535
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep14,Gaussian,corner,3,10,2.0,1.4,4,1.0,142708.38142802072,0.02649375,1.0,0.07059856414794922
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep15,Gaussian,corner,3,10,2.0,1.4,4,1.0,142323.27602764478,0.0247375,1.0,0.06949198484420777
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep16,Gaussian,corner,3,10,2.0,1.4,4,1.0,133908.47932003127,0.03268125,0.95703125,0.07718422412872314
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep17,Gaussian,corner,3,10,2.0,1.4,4,1.0,129605.38974883872,0.0481625,0.9296875,0.07561034679412842
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep18,Gaussian,corner,3,10,2.0,1.4,4,1.0,141996.99675080922,0.02928125,1.0,0.0794164776802063
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_corner_rep19,Gaussian,corner,3,10,2.0,1.4,4,1.0,128482.93664910135,0.03425625,0.9375,0.07838863134384155
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep0,Gaussian,edge,3,10,2.0,1.4,4,1.0,136832.51198151265,0.0326,0.99609375,0.07279097318649291
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep1,Gaussian,edge,3,10,2.0,1.4,4,1.0,143482.6466399419,0.02310625,1.0,0.06779438734054566
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep2,Gaussian,edge,3,10,2.0,1.4,4,1.0,141314.02932682936,0.02654375,0.98828125,0.07052898406982422
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep3,Gaussian,edge,3,10,2.0,1.4,4,1.0,141878.5549161661,0.0238625,0.9921875,0.06677947521209716
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep4,Gaussian,edge,3,10,2.0,1.4,4,1.0,143863.1532991428,0.02296875,1.0,0.07182151794433594
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep5,Gaussian,edge,3,10,2.0,1.4,4,1.0,136030.80615246005,0.0332875,0.98828125,0.07809143543243408
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep6,Gaussian,edge,3,10,2.0,1.4,4,1.0,141331.28446882864,0.025825,0.9921875,0.06753292798995972
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep7,Gaussian,edge,3,10,2.0,1.4,4,1.0,138545.52886059234,0.03120625,1.0,0.08085939168930054
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep8,Gaussian,edge,3,10,2.0,1.4,4,1.0,140864.1968852201,0.03050625,1.0,0.07459258317947387
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep9,Gaussian,edge,3,10,2.0,1.4,4,1.0,139255.64449220753,0.0232875,0.9765625,0.06726498126983643
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep10,Gaussian,edge,3,10,2.0,1.4,4,1.0,131925.0378088344,0.03658125,0.9453125,0.07378241539001465
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep11,Gaussian,edge,3,10,2.0,1.4,4,1.0,140787.8261035345,0.02973125,1.0,0.07529971837997436
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep12,Gaussian,edge,3,10,2.0,1.4,4,1.0,132621.63736033067,0.0333125,0.953125,0.07610902070999145
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep13,Gaussian,edge,3,10,2.0,1.4,4,1.0,143468.8477207267,0.0223,0.99609375,0.07586447954177857
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep14,Gaussian,edge,3,10,2.0,1.4,4,1.0,141713.86329919935,0.0256125,1.0,0.0719655418395996
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep15,Gaussian,edge,3,10,2.0,1.4,4,1.0,137084.7549990154,0.03020625,0.9921875,0.07667439222335816
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep16,Gaussian,edge,3,10,2.0,1.4,4,1.0,140373.88059029,0.0301375,1.0,0.07346429109573364
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep17,Gaussian,edge,3,10,2.0,1.4,4,1.0,140916.79827269432,0.023275,0.98828125,0.06926363229751586
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep18,Gaussian,edge,3,10,2.0,1.4,4,1.0,135582.68270242997,0.0359875,0.984375,0.0757578206062317
phase_1_computational_budget,ultra_fast,ultra_fast_Gaussian_edge_rep19,Gaussian,edge,3,10,2.0,1.4,4,1.0,141694.7558179531,0.02436875,0.99609375,0.07128463983535767
phase_1_computational_budget,fast,fast_Gaussian_corner_rep0,Gaussian,corner,3,25,5.0,1.4,4,1.0,135810.94130146044,0.0374125,0.984375,0.15362836837768554
phase_1_computational_budget,fast,fast_Gaussian_corner_rep1,Gaussian,corner,3,25,5.0,1.4,4,1.0,142027.33505148563,0.0288875,1.0,0.13827409505844115
