[2025-12-11T10:41:09]
Strategy: greedy_ig
Pairwise: equal
Num agents: 2
Iteration: 0
Error margin: None
Gaussian radius 4 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(25.0, 25.0, 5.4), (-25.0, 25.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
------------------------------------------------------------------------------------------------------------------------
0    	158826.13   	0.435   	0.0078  	[5.4, 5.4]	[up, up]	[807.8971, 807.8971]
1    	155956.52   	0.439   	0.0312  	[10.8, 10.8]	[up, up]	[1049.1203, 1047.0929]
2    	152541.47   	0.449   	0.0703  	[16.2, 16.2]	[back, back]	[1218.5389, 1211.2301]
3    	149897.95   	0.443   	0.0938  	[16.2, 16.2]	[left, right]	[1511.4821, 1513.2401]
4    	146213.46   	0.442   	0.1250  	[16.2, 16.2]	[back, back]	[1730.0320, 1721.0269]
5    	142346.55   	0.427   	0.1562  	[16.2, 16.2]	[left, right]	[2049.3394, 2033.8366]
6    	137601.98   	0.421   	0.1953  	[16.2, 16.2]	[left, back]	[2284.4989, 2271.1261]
7    	132625.41   	0.415   	0.2344  	[16.2, 16.2]	[back, right]	[2618.9421, 2608.5872]
8    	126712.33   	0.392   	0.2812  	[16.2, 16.2]	[left, right]	[2640.3586, 2662.6611]
9    	121260.59   	0.389   	0.3281  	[16.2, 16.2]	[left, right]	[2690.2499, 2740.7310]
10   	115694.19   	0.384   	0.3750  	[16.2, 16.2]	[back, back]	[2617.9365, 2629.9455]
11   	110760.26   	0.360   	0.4219  	[16.2, 16.2]	[up, up]	[2750.5603, 2757.7026]
12   	105738.45   	0.329   	0.4844  	[21.7, 21.7]	[back, back]	[2800.8142, 2810.6333]
13   	100017.32   	0.295   	0.5391  	[21.7, 21.7]	[back, back]	[2906.6145, 2896.5401]
14   	94131.41    	0.264   	0.5938  	[21.7, 21.7]	[back, back]	[3018.8504, 3000.3773]
15   	88073.21    	0.225   	0.6484  	[21.7, 21.7]	[back, back]	[3131.3672, 3106.0494]
16   	81962.06    	0.203   	0.7031  	[21.7, 21.7]	[back, back]	[3234.4900, 3208.1794]
17   	75772.95    	0.179   	0.7578  	[21.7, 21.7]	[back, back]	[3314.7517, 3313.0284]
18   	69325.52    	0.164   	0.8125  	[21.7, 21.7]	[back, back]	[3328.4420, 3322.8989]
19   	62997.45    	0.156   	0.8672  	[21.7, 21.7]	[back, back]	[3320.3045, 3327.2619]
20   	56806.79    	0.157   	0.9219  	[21.7, 21.7]	[right, left]	[3214.5989, 3211.2783]
21   	49968.15    	0.128   	0.9844  	[21.7, 21.7]	[hover, hover]	[2753.1243, 2743.5155]
22   	47087.68    	0.115   	0.9844  	[21.7, 21.7]	[hover, hover]	[2342.8636, 2333.0811]
23   	44388.40    	0.107   	0.9844  	[21.7, 21.7]	[hover, hover]	[2013.7558, 1997.5935]
24   	41696.33    	0.096   	0.9844  	[21.7, 21.7]	[hover, hover]	[1734.1619, 1717.1954]
25   	39341.43    	0.091   	0.9844  	[21.7, 21.7]	[left, hover]	[1502.4279, 1480.1570]
26   	37652.37    	0.083   	0.9844  	[21.7, 21.7]	[left, right]	[1752.0419, 1307.6003]
27   	36302.87    	0.080   	0.9844  	[21.7, 21.7]	[left, right]	[1946.5173, 1583.4941]
28   	35023.56    	0.076   	0.9844  	[21.7, 21.7]	[left, right]	[2135.4819, 1829.0804]
29   	34044.55    	0.074   	0.9844  	[21.7, 21.7]	[front, front]	[1956.3405, 1651.9222]
30   	32994.34    	0.071   	0.9844  	[21.7, 21.7]	[front, up]	[1781.9912, 1585.0455]
31   	32044.90    	0.070   	0.9844  	[21.7, 27.1]	[left, right]	[2156.8188, 1883.8133]
32   	31222.22    	0.068   	0.9844  	[21.7, 27.1]	[left, right]	[2500.2925, 2213.3374]
33   	30384.39    	0.065   	0.9844  	[21.7, 27.1]	[left, right]	[2821.0093, 2500.7426]
34   	29444.77    	0.064   	0.9844  	[21.7, 27.1]	[left, right]	[3070.6773, 2758.2148]
