[2025-12-18T15:06:33]
Strategy: greedy_ig
Pairwise: adaptive
News mode: IG_BM
Num agents: 4
Iteration: 0
Error margin: None
Gaussian radius 5 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(-25.0, -5.0, 5.4), (-10.0, 10.0, 5.4), (10.0, 0.0, 5.4), (0.0, 20.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
------------------------------------------------------------------------------------------------------------------------
0    	160000.00   	0.250   	0.0000  	[5.4, 5.4, 5.4, 5.4]	[-, -, -, -]	[-, -, -, -]
1    	153513.77   	0.231   	0.0547  	[5.4, 5.4, 5.4, 5.4]	[up, up, up, up]	[1952.2791, 3904.5582, 3904.5582, 3514.1024]
2    	141410.01   	0.203   	0.2100  	[10.8, 10.8, 10.8, 10.8]	[up, up, up, up]	[1995.7711, 4105.5321, 4342.2658, 2826.5338]
3    	131363.09   	0.179   	0.4231  	[16.2, 16.2, 16.2, 16.2]	[right, up, up, back]	[1931.6327, 3492.4344, 4330.5547, 2234.6262]
4    	125678.44   	0.163   	0.5825  	[16.2, 21.7, 21.7, 16.2]	[up, left, back, up]	[1765.5861, 2469.1780, 3558.5051, 1647.6011]
5    	120781.99   	0.149   	0.6850  	[21.7, 21.7, 21.7, 21.7]	[right, front, back, right]	[1714.5269, 1769.5370, 3259.7783, 1324.2472]
6    	117582.37   	0.139   	0.7631  	[21.7, 21.7, 21.7, 21.7]	[right, hover, back, right]	[1670.7895, 1223.9163, 3010.1121, 1323.5154]
7    	114850.56   	0.130   	0.8287  	[21.7, 21.7, 21.7, 21.7]	[back, hover, back, right]	[1690.2754, 819.2247, 2709.0005, 1390.0427]
8    	92255.60    	0.094   	0.9030  	[21.7, 21.7, 21.7, 21.7]	[right, hover, left, right]	[1796.6037, 540.2710, 2278.2468, 1503.0735]
9    	87277.46    	0.083   	0.9367  	[21.7, 21.7, 21.7, 21.7]	[back, right, left, back]	[1500.0317, 364.2035, 1380.2131, 1271.5127]
10   	85106.21    	0.078   	0.9656  	[21.7, 21.7, 21.7, 21.7]	[back, up, left, back]	[1155.3994, 306.0140, 831.7296, 1011.0733]
11   	45414.28    	0.037   	0.9769  	[21.7, 27.1, 21.7, 21.7]	[hover, back, left, back]	[695.9294, 335.3699, 484.4943, 839.5812]
12   	41532.37    	0.033   	0.9800  	[21.7, 27.1, 21.7, 21.7]	[hover, hover, left, back]	[377.8523, 100.5567, 295.5151, 472.6916]
13   	39854.15    	0.031   	0.9831  	[21.7, 27.1, 21.7, 21.7]	[right, right, left, back]	[194.3532, 62.6499, 192.1259, 441.5293]
14   	15770.11    	0.013   	0.9862  	[21.7, 27.1, 21.7, 21.7]	[right, right, left, back]	[108.9952, 60.7973, 150.1674, 486.3240]
15   	14855.04    	0.012   	0.9894  	[21.7, 27.1, 21.7, 21.7]	[right, right, left, back]	[87.8910, 77.7923, 92.5898, 550.1080]
16   	13743.45    	0.011   	0.9925  	[21.7, 27.1, 21.7, 21.7]	[right, right, hover, back]	[102.8647, 97.9359, 52.0884, 602.4178]
17   	12564.83    	0.009   	0.9956  	[21.7, 27.1, 21.7, 21.7]	[right, right, hover, back]	[117.4887, 128.2186, 27.8563, 620.9673]
18   	11401.24    	0.008   	0.9988  	[21.7, 27.1, 21.7, 21.7]	[right, right, hover, back]	[134.0990, 183.5557, 15.9701, 479.1133]
19   	10360.60    	0.006   	1.0000  	[21.7, 27.1, 21.7, 21.7]	[right, right, front, hover]	[157.2500, 142.7650, 10.9361, 275.6865]
