[2025-12-18T14:44:59]
Strategy: greedy_ig
Pairwise: adaptive
News mode: IG
Num agents: 4
Iteration: 0
Error margin: None
Gaussian radius 5 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(-25.0, -5.0, 5.4), (-10.0, 10.0, 5.4), (10.0, 0.0, 5.4), (0.0, 20.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
------------------------------------------------------------------------------------------------------------------------
0    	160000.00   	0.250   	0.0000  	[5.4, 5.4, 5.4, 5.4]	[-, -, -, -]	[-, -, -, -]
1    	159154.81   	0.243   	0.0547  	[5.4, 5.4, 5.4, 5.4]	[up, up, up, up]	[1952.2791, 3904.5582, 3904.5582, 3514.1024]
2    	158147.73   	0.234   	0.2100  	[10.8, 10.8, 10.8, 10.8]	[up, up, up, up]	[1998.7423, 4348.0608, 4342.2658, 3034.8406]
3    	156662.82   	0.224   	0.4231  	[16.2, 16.2, 16.2, 16.2]	[right, up, up, back]	[2048.0542, 4316.2556, 4480.3928, 2809.5080]
4    	154824.89   	0.214   	0.5825  	[16.2, 21.7, 21.7, 16.2]	[up, back, front, up]	[2127.9245, 3423.9129, 3713.1715, 2689.7381]
5    	152480.11   	0.204   	0.6598  	[21.7, 21.7, 21.7, 21.7]	[right, up, front, back]	[2262.8617, 2943.6158, 3245.6203, 2667.4736]
6    	149702.97   	0.194   	0.7069  	[21.7, 27.1, 21.7, 21.7]	[right, back, front, back]	[2311.7624, 2590.3832, 2838.3547, 2519.5184]
7    	146644.49   	0.185   	0.7311  	[21.7, 27.1, 21.7, 21.7]	[right, back, front, back]	[2277.6084, 2479.0634, 2494.9448, 2356.7845]
8    	143140.49   	0.177   	0.7556  	[21.7, 27.1, 21.7, 21.7]	[right, back, left, up]	[2248.8505, 2410.9990, 2133.8105, 2319.1469]
9    	139236.18   	0.168   	0.7697  	[21.7, 27.1, 21.7, 27.1]	[up, back, left, back]	[2257.7432, 2387.5447, 2027.9811, 2280.7172]
10   	135060.24   	0.159   	0.8100  	[27.1, 27.1, 21.7, 27.1]	[right, back, left, back]	[2275.2319, 2344.0115, 2032.7798, 2279.0476]
11   	130560.18   	0.151   	0.8631  	[27.1, 27.1, 21.7, 27.1]	[right, right, left, back]	[2307.7485, 2203.7302, 2060.5754, 2284.0302]
12   	126063.00   	0.142   	0.8814  	[27.1, 27.1, 21.7, 27.1]	[right, right, left, back]	[2303.9154, 2107.1131, 2146.7315, 2306.8068]
13   	121472.80   	0.134   	0.8930  	[27.1, 27.1, 21.7, 27.1]	[right, right, left, back]	[2312.1045, 2117.9357, 2265.2511, 2309.2845]
14   	116986.95   	0.125   	0.9117  	[27.1, 27.1, 21.7, 27.1]	[right, right, left, left]	[2317.8122, 2144.8855, 2378.3137, 2121.1169]
15   	112396.15   	0.117   	0.9289  	[27.1, 27.1, 21.7, 27.1]	[right, right, back, left]	[2339.2163, 2180.2495, 2197.2065, 2067.0664]
16   	107444.89   	0.109   	0.9669  	[27.1, 27.1, 21.7, 27.1]	[back, right, back, left]	[2201.9878, 2225.0421, 2094.8449, 2077.3080]
17   	102519.55   	0.102   	0.9723  	[27.1, 27.1, 21.7, 27.1]	[back, front, back, back]	[1850.7566, 1911.3097, 2030.7785, 1757.4848]
18   	97823.14    	0.096   	0.9850  	[27.1, 27.1, 21.7, 27.1]	[down, front, back, hover]	[1583.9062, 1712.5059, 2037.3767, 1386.6731]
19   	93350.80    	0.090   	0.9869  	[21.7, 27.1, 21.7, 27.1]	[right, front, back, hover]	[1397.0255, 1637.4123, 2094.8888, 1058.3214]
