[2025-12-18T14:56:22]
Strategy: greedy_ig
Pairwise: adaptive
News mode: IGd
Num agents: 4
Iteration: 0
Error margin: None
Gaussian radius 5 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(-25.0, -5.0, 5.4), (-10.0, 10.0, 5.4), (10.0, 0.0, 5.4), (0.0, 20.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
------------------------------------------------------------------------------------------------------------------------
0    	160000.00   	0.250   	0.0000  	[5.4, 5.4, 5.4, 5.4]	[-, -, -, -]	[-, -, -, -]
1    	159154.81   	0.243   	0.0547  	[5.4, 5.4, 5.4, 5.4]	[up, up, up, up]	[1952.2791, 3904.5582, 3904.5582, 3438.5303]
2    	158147.73   	0.234   	0.2100  	[10.8, 10.8, 10.8, 10.8]	[up, up, up, up]	[1996.3881, 3938.3982, 4342.2658, 2608.1342]
3    	156662.82   	0.224   	0.4231  	[16.2, 16.2, 16.2, 16.2]	[right, up, up, back]	[1953.7923, 3128.6675, 4087.3429, 2020.0270]
4    	155141.21   	0.215   	0.5825  	[16.2, 21.7, 21.7, 16.2]	[up, left, back, up]	[1812.1195, 2182.0099, 3556.3368, 1888.0797]
5    	153458.18   	0.206   	0.6850  	[21.7, 21.7, 21.7, 21.7]	[right, front, back, back]	[1750.3064, 1543.2246, 3232.9949, 1649.9317]
6    	151915.68   	0.198   	0.7475  	[21.7, 21.7, 21.7, 21.7]	[right, hover, back, right]	[1851.7456, 1080.5473, 2959.9158, 1567.9273]
7    	150551.01   	0.191   	0.8131  	[21.7, 21.7, 21.7, 21.7]	[back, right, back, right]	[1760.9636, 1046.6610, 2722.7315, 1589.5605]
8    	149169.49   	0.184   	0.8873  	[21.7, 21.7, 21.7, 21.7]	[back, right, left, right]	[1828.9151, 1168.7837, 2170.1277, 1578.4547]
9    	147478.12   	0.177   	0.9372  	[21.7, 21.7, 21.7, 21.7]	[right, right, left, right]	[1776.1024, 1286.1108, 1651.7935, 1575.8083]
10   	145358.29   	0.170   	0.9656  	[21.7, 21.7, 21.7, 21.7]	[right, right, left, back]	[1459.3784, 1391.9635, 1212.7125, 1384.0966]
11   	142896.27   	0.163   	0.9703  	[21.7, 21.7, 21.7, 21.7]	[right, right, front, back]	[984.6631, 1320.1104, 653.9943, 1195.1683]
12   	140412.19   	0.157   	0.9734  	[21.7, 21.7, 21.7, 21.7]	[back, right, left, back]	[899.2870, 1252.7393, 682.2846, 1223.5856]
13   	137924.88   	0.151   	0.9800  	[21.7, 21.7, 21.7, 21.7]	[right, right, left, back]	[514.4955, 1283.2568, 683.5247, 1314.1560]
14   	135285.14   	0.145   	0.9831  	[21.7, 21.7, 21.7, 21.7]	[right, right, left, back]	[839.5190, 1373.4203, 1188.5103, 1519.1190]
15   	132327.56   	0.138   	0.9862  	[21.7, 21.7, 21.7, 21.7]	[right, back, left, back]	[1084.4697, 1248.9675, 1654.0176, 1552.0829]
16   	128602.61   	0.130   	0.9894  	[21.7, 21.7, 21.7, 21.7]	[right, back, front, back]	[1135.2731, 1182.7617, 1715.6635, 1285.9010]
17   	125061.14   	0.125   	0.9925  	[21.7, 21.7, 21.7, 21.7]	[right, back, front, down]	[839.7116, 1133.8129, 1769.0431, 804.2997]
18   	121416.16   	0.119   	0.9925  	[21.7, 21.7, 21.7, 16.2]	[right, back, front, back]	[907.6302, 1071.0185, 1891.0551, 564.3261]
19   	118222.53   	0.114   	0.9969  	[21.7, 21.7, 21.7, 16.2]	[back, left, front, right]	[470.1131, 927.8645, 1844.2852, 443.7003]
